track_name,artists,distance
Call Me,Blondie,0.11365740623583029
Tranquility Base Hotel & Casino,Arctic Monkeys,0.19130958603631062
"Call Me - Single Version / Theme From ""American Gigolo""",Blondie,0.20825425897254835
Jackson,The Hillbilly Moon Explosion;Mark Philips,0.2152691411305911
A Hard Day's Night - Remastered 2015,The Beatles,0.22805986098699876
Inspiracional,Inspector,0.2559271775175932
Better Than Them,New Model Army,0.26121812920678
Basural,Los Caligaris,0.26197772668353514
Bichos escrotos,Titãs,0.26479593720614103
Lost Weekend,Lloyd Cole and the Commotions,0.2707306997570756
