track_name,artists,distance
Mine,Keenan Te,0.23460022782252754
Love Letters In The Sand - Single Version,Pat Boone,0.23934835808122323
Dos Gardenias,Buena Vista Social Club,0.24194913254208597
Closer,Ysabelle Cuevas,0.2559799605830449
$tars and I feel alone,Vluestar,0.26153988669996814
I'll Share My World With You,George Jones,0.27104742244085656
What My Woman Can't Do,George Jones,0.3017224027755737
Tell Me My Lying Eyes Are Wrong,George Jones,0.31245819630928234
Can't Find My Way Home,Blind Faith,0.32092037138090823
House Carpenter,Nickel Creek,0.34510256772983905
