track_name,artists,distance
Flat Jam,Pola & Bryson,0.18232005505296175
Viah,Jass Manak,0.1832226136755564
On My Way,Alan Walker;Sabrina Carpenter;Farruko,0.2283035150480866
I Love...,Official HIGE DANdism,0.27130564084232356
平凡人的自傳 - Rap Version,ONE PROMISE,0.2724867121155919
BODY,LICK;LUNA AURA,0.3057795066961078
Thinkin About,ShockOne;Lee Mvtthews,0.3083392848228502
Terminator,Sevendust,0.31292274831223554
We Are Young,Juveniles,0.3129618426744042
Slip Into Something More Comfortable - Stephen Hague 2016 Mix,Kinobe;Stephen Hague,0.3145055674749645
