track_name,artists,distance
Brujeria,El Gran Combo De Puerto Rico,0.26012881144042144
¿ Quien Es ?,La Cumbia Chicharra,0.2621685189919513
Life of a Poor Boy,Stonewall Jackson,0.3194498205796831
Pidit - Love Story Part 2,Neetesh Jung Kunwar,0.32995055556824865
Un Cariño Como Tú,Joan Sebastian,0.3462339801594899
Y Me Hace Llorar,Galy Galiano,0.35389231709918634
Let Me Know,Wilson Pickett,0.3544948494165827
El Conductor,Mike Laure,0.3731999349486569
Viagra,DJ Vadim;El-P;DJ Primecuts;Olele,0.3763552470696991
Nunca Me He Sacado un 7 - Michael Astudillo Jr,31 Minutos,0.3771564617749415
